time,text,sentiment
2020-07-18 13:35:43,"b'RT @MiaFarrow: Donald Trump\xe2\x80\x99s silence is fitting. He  is not worthy to utter the name of John Lewis- a man who embodied courage, honor, dec\xe2\x80\xa6'",positive
2020-07-18 13:35:43,b'RT @LisaMei62: Got something in my eyes \xf0\x9f\x98\xad...How blessed are we that God is giving us another chance...and that he put President Donald J. T\xe2\x80\xa6',neutral
2020-07-18 13:35:43,b'RT @MZHemingway: She is such a professional. \xe2\x80\x9cHarris Faulkner Gets a Bigger Spotlight at Fox News Channel \xe2\x80\x93 Variety\xe2\x80\x9d https://t.co/JxQx6cS7ml',positive
2020-07-18 13:35:42,b'RT @JoeBiden: I\xe2\x80\x99ve released 21 years of my tax returns \xe2\x80\x94 why hasn\xe2\x80\x99t Donald Trump?\n\nWe deserve to know what this president is hiding.',neutral
2020-07-18 13:35:42,b'RT @Colin_H_Turner: A dying Marine Vets last words to Donald Trump. Watch and share everywhere until Trump sees it! https://t.co/REyhfaTDmp',neutral
2020-07-18 13:35:42,"b'RT @donwinslow: If you want to know why @realDonaldTrump has been silent on @repjohnlewis death, look no further than this remarkable video\xe2\x80\xa6'",positive
2020-07-18 13:35:42,"b'RT @ThePubliusUSA: So Donald Trump is muzzling the CDC, preventing it from testifying to Congress regarding whether to open schools. That i\xe2\x80\xa6'",neutral
2020-07-18 13:35:41,"b""RT @fred_guttenberg: I am voting for @JoeBiden.  He won't militarize our democratic streets. Today's reminder DONALD TRUMP IS LETTING THE R\xe2\x80\xa6""",neutral
2020-07-18 13:35:41,"b'RT @BandyXLee1: What Donald Trump is doing in Portland is a trial balloon (or, in psychological terms, \xe2\x80\x9ctesting limits\xe2\x80\x9d).  He may believe O\xe2\x80\xa6'",neutral
2020-07-18 13:35:41,b'Some Family Members Surprised Voters Believed Donald Trump Image | Rache... https://t.co/Qm0mSgRjfM via @YouTube',positive
2020-07-18 13:35:40,b'RT @RoscoeJames: We know that Donald Trump lies and breaks laws. We know the Republican House and Senate shield #BunkerBaby from prosecutio\xe2\x80\xa6',neutral
2020-07-18 13:35:40,"b'RT @donwinslow: .@FLOTUS Melania Trump,\n\nThere is a strong rumor going around that some of your ex ""clients"" in NYC are going to come forwa\xe2\x80\xa6'",positive
2020-07-18 13:35:40,"b""RT @ROMULUS7078: https://t.co/GdAwDh2hzB Burning buildings it's ARSON, Looting is THEFT/BURGLARY Beating innocent people &amp; cops is AGG ASSA\xe2\x80\xa6""",positive
2020-07-18 13:35:40,b'RT @pewresearch: Donald Trump has now appointed 24% of all active federal judges in the United States. For more on how Trump compares with\xe2\x80\xa6',positive
2020-07-18 13:35:40,"b'RT @CNN: ""Donald is a psychologically deeply damaged man, based on his upbringing and the situation with his parents,"" warns President Trum\xe2\x80\xa6'",neutral
2020-07-18 13:35:40,b'RT @MZHemingway: She is such a professional. \xe2\x80\x9cHarris Faulkner Gets a Bigger Spotlight at Fox News Channel \xe2\x80\x93 Variety\xe2\x80\x9d https://t.co/JxQx6cS7ml',positive
2020-07-18 13:35:39,b'RT @AyannaPressley: Remember when Donald J. Trump was impeached by the United States House of Representatives?',neutral
2020-07-18 13:35:39,b'RT @MsDixieDiva8253: @SethAbramson How long before there are tanks in the streets? This is a coup. \n\nDonald Trump &amp; Bill Barr are carrying\xe2\x80\xa6',negative
2020-07-18 13:35:39,"b'RT @LepapillonBlu: Armageddon it\xe2\x80\x99s here, and Donald Trump is the Antichrist.'",neutral
2020-07-18 13:35:38,b'RT @JoeBiden: I\xe2\x80\x99ve released 21 years of my tax returns \xe2\x80\x94 why hasn\xe2\x80\x99t Donald Trump?\n\nWe deserve to know what this president is hiding.',neutral
2020-07-18 13:35:38,b'RT @ThePubliusUSA: My question remains unanswered: why is Donald Trump trying to unmask the person who leaked the Russian bounty story inst\xe2\x80\xa6',negative
2020-07-18 13:35:38,"b'""It was not until Donald Trump became the party\xe2\x80\x99s candidate that I learned how different my understanding of the wo\xe2\x80\xa6 https://t.co/DjkxXgLMam'",neutral
2020-07-18 13:35:37,"b'RT @An3ita5: After the president falsely claimed that Joe Biden wants to defund the police, the \xe2\x80\x9cFox News Sunday\xe2\x80\x9d host interjected, ""Sir, h\xe2\x80\xa6'",negative
2020-07-18 13:35:37,b'RT @MelissaAFrancis: So proud! I cannot wait to watch Harris on Sunday! Way to go! https://t.co/kgLdgBqGZY',positive
2020-07-18 13:35:36,b'RT @waythingsturn: @JoyAnnReid Mitch McConnell praising John Lewis is like Donald Trump hugging the American flag \xe2\x80\x94 a performative show of\xe2\x80\xa6',neutral
2020-07-18 13:35:36,b'RT @MelissaAFrancis: So proud! I cannot wait to watch Harris on Sunday! Way to go! https://t.co/kgLdgBqGZY',positive
2020-07-18 13:35:36,b'RT @Weinsteinlaw: Donald Trump has now officially spent more time attacking his niece over her book than he\xe2\x80\x99s spent criticizing Vladimir Pu\xe2\x80\xa6',positive
2020-07-18 13:35:35,"b""RT @mog7546: 'Impossibly stupid'\n\n#Trump\xe2\x80\x99s STRANGE STUNT\n\nEager to arrest his sliding poll numbers, US president Donald Trump is pulling ou\xe2\x80\xa6""",negative
2020-07-18 13:35:35,"b'RT @BandyXLee1: What Donald Trump is doing in Portland is a trial balloon (or, in psychological terms, \xe2\x80\x9ctesting limits\xe2\x80\x9d).  He may believe O\xe2\x80\xa6'",neutral
2020-07-18 13:35:35,"b'RT @BandyXLee1: What Donald Trump is doing in Portland is a trial balloon (or, in psychological terms, \xe2\x80\x9ctesting limits\xe2\x80\x9d).  He may believe O\xe2\x80\xa6'",neutral
2020-07-18 13:35:35,"b""RT @murray_nyc: @realDonaldTrump TRASHING HIS OWN FAMILY\n\nIt's one thing for Trump to trash politicians &amp; the media but now he has taken to\xe2\x80\xa6""",positive
2020-07-18 13:35:34,"b""RT @Lady_E_88: @k_ovfefe2 @Shem_Infinite @almostjingo \n\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 Have you seen this before?\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\n\nWhat to Know About Donald Trump's Niece Mary, Who F\xe2\x80\xa6""",neutral
2020-07-18 13:35:34,"b'RT @JoeBiden: From day one, Donald Trump has been focused on the stock market and delivering for his wealthy friends and big corporations.\xe2\x80\xa6'",positive
2020-07-18 13:35:34,"b""RT @fred_guttenberg: I am voting for @JoeBiden.  He won't militarize our democratic streets. Today's reminder DONALD TRUMP IS LETTING THE R\xe2\x80\xa6""",neutral
2020-07-18 13:35:33,b'RT @LisaMei62: Got something in my eyes \xf0\x9f\x98\xad...How blessed are we that God is giving us another chance...and that he put President Donald J. T\xe2\x80\xa6',neutral
2020-07-18 13:35:33,b'RT @realTrumpForce: @WhiteHouse @realDonaldTrump Donald J Trump will go down in history as the BEST PRESIDENT of the United States of Ameri\xe2\x80\xa6',positive
2020-07-18 13:35:33,"b'RT @AndyHutchins: Which says everything, just like his lies about Lewis while alive did: https://t.co/ML6jqDtfYJ https://t.co/IPZBvOOq4c'",positive
2020-07-18 13:35:33,"b""RT @CNN: Analysis: Not only is Trump refusing to act in a manner appropriate to the magnitude of the emergency, he is using the country's l\xe2\x80\xa6""",positive
2020-07-18 13:35:32,b'@realDonaldTrump We discussed what happened to America?  The answer was Americans didn\xe2\x80\x99t change. It has always been\xe2\x80\xa6 https://t.co/egVTswRmA0',neutral
